연번,발생일,사고유형,발생역,발생시간
382,2025-05-21,역구내 사고,신림역,19:53
383,2025-05-20,역구내 사고,디지털미디어시티역,20:15
384,2025-05-20,출입문관련,양재역,09:18
385,2025-05-20,역구내 사고,디지털미디어시티역,20:15
386,2025-05-20,승강설비관련,옥수역,11:30
387,2025-05-18,발빠짐,동대문역사문화공원(4)역,14:22
388,2025-05-17,출입문관련,모란역,16:46
389,2025-05-17,출입문관련,잠실(2)역,18:58
390,2025-05-17,승강설비관련,연신내(3)역,19:08
391,2025-05-16,역구내 사고,미사역,13:22
392,2025-05-16,역구내 사고,구산역,18:10
393,2025-05-16,역구내 사고,서울대입구역,12:20
394,2025-05-16,역구내 사고,영등포시장역,19:24
395,2025-05-16,출입문관련,을지로4가(2)역,08:15
396,2025-05-16,역구내 사고,동묘앞(1)역,18:18
397,2025-05-15,열차내 사고,상계역,07:38
398,2025-05-15,승강설비관련,회현역,10:15
399,2025-05-14,출입문관련,신도림역,19:48
400,2025-05-14,발빠짐,동대문역사문화공원(4)역,07:15
401,2025-05-14,역구내 사고,봉화산역,05:26
402,2025-05-14,출입문관련,성수역,18:21
403,2025-05-14,출입문관련,신림역,18:28
404,2025-05-12,열차내 사고,장승배기역,12:43
405,2025-05-12,발빠짐,충정로(2)역,18:21
406,2025-05-11,역구내 사고,가락시장(3)역,13:49
407,2025-05-10,역구내 사고,종로5가역,14:55
408,2025-05-10,열차내 사고,아차산역,14:00
409,2025-05-10,역구내 사고,창동역,09:46
410,2025-05-10,승강설비관련,노원(7)역,07:02
411,2025-05-09,역구내 사고,발산역,14:32
412,2025-05-09,열차내 사고,산성역,07:34
413,2025-05-09,승강설비관련,하남검단산역,12:13
414,2025-05-09,열차내 사고,안국역,18:00
415,2025-05-09,열차내 사고,합정(2)역,09:09
416,2025-05-09,승강설비관련,청담역,07:25
417,2025-05-08,역구내 사고,수서역,13:54
418,2025-05-08,출입문관련,가산디지털단지(7)역,11:04
419,2025-05-07,역구내 사고,뚝섬역,12:06
420,2025-05-07,발빠짐,서대문역,14:25
421,2025-05-05,열차내 사고,삼송역,14:32
422,2025-05-04,출입문관련,고속터미널(7)역,11:29
423,2025-05-04,역구내 사고,충무로(4)역,09:51
424,2025-05-02,승강설비관련,공덕(6)역,13:26
425,2025-05-02,출입문관련,충정로(5)역,14:26
426,2025-05-02,출입문관련,충무로(4)역,09:25
427,2025-05-02,출입문관련,연신내(3)역,15:48
428,2025-05-02,승강설비관련,공덕(6)역,13:26
429,2025-05-01,역구내 사고,시청(2)역,20:16
430,2025-04-29,열차내 사고,온수(7)역,11:45
431,2025-04-29,출입문관련,천호(8)역,16:20
432,2025-04-28,출입문관련,성수역,08:30
433,2025-04-26,승강설비관련,마포구청역,20:27
434,2025-04-26,출입문관련,종로3가(5)역,17:08
435,2025-04-26,역구내 사고,구로디지털단지역,10:30
436,2025-04-25,역구내 사고,양재역,21:25
437,2025-04-24,발빠짐,거여역,13:41
438,2025-04-24,출입문관련,서울(4)역,21:46
439,2025-04-24,출입문관련,서울(4)역,21:45
440,2025-04-23,열차내 사고,온수(7)역,16:30
441,2025-04-23,열차내 사고,합정(6)역,14:30
442,2025-04-23,출입문관련,양재역,17:28
443,2025-04-22,역구내 사고,봉천역,19:48
444,2025-04-22,역구내 사고,하계역,08:13
445,2025-04-22,열차내 사고,공덕(6)역,15:24
446,2025-04-22,승강설비관련,먹골역,15:16
447,2025-04-22,발빠짐,개화산역,06:51
448,2025-04-22,열차내 사고,교대(2)역,13:55
449,2025-04-22,열차내 사고,장지역,20:39
450,2025-04-22,역구내 사고,철산역,08:00
451,2025-04-21,열차내 사고,상수역,11:20
452,2025-04-21,발빠짐,고속터미널(7)역,14:52
453,2025-04-21,역구내 사고,방화역,11:35
454,2025-04-21,발빠짐,동대문역사문화공원(4)역,08:39
455,2025-04-19,발빠짐,서울(1)역,11:51
456,2025-04-19,역구내 사고,종로3가(3)역,21:44
457,2025-04-19,역구내 사고,마들역,10:54
458,2025-04-19,역구내 사고,창동역,22:57
459,2025-04-19,역구내 사고,수서역,21:44
460,2025-04-18,출입문관련,신당(2)역,07:58
461,2025-04-18,출입문관련,창동역,08:55
462,2025-04-18,발빠짐,사당(2)역,17:30
463,2025-04-17,발빠짐,동대문역사문화공원(4)역,17:33
464,2025-04-17,출입문관련,까치산(5)역,09:12
465,2025-04-16,역구내 사고,종각역,21:57
466,2025-04-16,승강설비관련,회현역,12:01
467,2025-04-16,승강설비관련,회현역,12:01
468,2025-04-15,출입문관련,여의도역,07:54
469,2025-04-15,발빠짐,고속터미널(7)역,23:50
470,2025-04-15,역구내 사고,혜화역,08:26
471,2025-04-15,열차내 사고,회룡역,10:05
472,2025-04-15,발빠짐,동대문(4)역,07:19
473,2025-04-14,승강설비관련,선릉(2)역,20:20
474,2025-04-14,출입문관련,몽촌토성역,08:23
475,2025-04-13,승강설비관련,고속터미널(3)역,07:57
476,2025-04-12,열차내 사고,동대문(4)역,22:00
477,2025-04-12,출입문관련,약수(3)역,13:55
478,2025-04-11,열차내 사고,구산역,13:54
479,2025-04-11,역구내 사고,신도림역,15:32
480,2025-04-09,출입문관련,구리역,19:15
481,2025-04-08,열차내 사고,지축역,11:33
482,2025-04-08,출입문관련,삼각지역,19:04
483,2025-04-07,역구내 사고,반포역,05:40
484,2025-04-07,역구내 사고,선릉(2)역,15:55
485,2025-04-07,출입문관련,구로디지털단지역,18:34
486,2025-04-07,발빠짐,연신내(6)역,08:31
487,2025-04-05,역구내 사고,방이역,15:16
488,2025-04-05,승강설비관련,고속터미널(3)역,05:07
489,2025-04-05,승강설비관련,신풍역,09:42
490,2025-04-04,출입문관련,발산역,00:48
491,2025-04-02,발빠짐,일원역,15:49
492,2025-04-01,출입문관련,화곡역,18:23
493,2025-03-31,출입문관련,산본역,10:45
494,2025-03-29,역구내 사고,신정네거리역,11:45
495,2025-03-29,열차내 사고,하남검단산역,14:17
496,2025-03-27,출입문관련,태릉입구역,09:35
497,2025-03-26,역구내 사고,동대문(4)역,17:19
